symbol	id	ensg	Entrez.ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	entrez
AADACL2	ENSG00000197953_AADACL2	ENSG00000197953	344752	118.4235958	-1.566792553	1.33379551	-1.17468723	0.24011987	0.52176514	344752
AADACP1	ENSG00000240602_AADACP1	ENSG00000240602	201651	190.5249196	-1.218964672	1.208588807	-1.008585108	0.313173652	0.595322163	201651
AADAT	ENSG00000109576_AADAT	ENSG00000109576	51166	255.1594691	-1.347597217	0.672563887	-2.003671684	0.045105241	0.211826555	51166
AAED1	ENSG00000158122_AAED1	ENSG00000158122	195827	240.2156851	0.292020039	0.485152615	0.601913769	0.547231539	0.774190686	195827
AAGAB	ENSG00000103591_AAGAB	ENSG00000103591	79719	1052.443802	-0.142242562	0.307373931	-0.462767161	0.643531272	0.833214831	79719
AAK1	ENSG00000115977_AAK1	ENSG00000115977	22848	5876.702388	-0.369910927	0.297851189	-1.241932013	0.214261647	0.491818152	22848
AAMDC	ENSG00000087884_AAMDC	ENSG00000087884	28971	185.2429895	-0.563224567	0.371714028	-1.515209339	0.129719399	0.375170849	28971
AAMP	ENSG00000127837_AAMP	ENSG00000127837	14	1417.025385	0.383007622	0.328190127	1.167029689	0.24319838	0.524416993	14
AANAT	ENSG00000129673_AANAT	ENSG00000129673	15	110.0552101	-0.735732564	0.516209616	-1.425259314	0.154082256	0.410826477	15
AAR2	ENSG00000131043_AAR2	ENSG00000131043	25980	607.4619642	0.144642242	0.265088012	0.545638565	0.58531441	0.800132626	25980
AARD	ENSG00000205002_AARD	ENSG00000205002	441376	10.83837754	1.826142455	1.949943029	0.936510671	0.349010321	0.62718917	441376
AARS	ENSG00000090861_AARS	ENSG00000090861	16	2829.826784	0.121502975	0.301813681	0.4025761	0.687260094	0.85864171	16
AARS2	ENSG00000124608_AARS2	ENSG00000124608	57505	970.6564294	0.298193469	0.328606158	0.907449423	0.364169184	0.639625344	57505
AASDH	ENSG00000157426_AASDH	ENSG00000157426	132949	607.1557005	0.281522978	0.286584578	0.982338197	0.325933262	0.607800956	132949
AASDHPPT	ENSG00000149313_AASDHPPT	ENSG00000149313	60496	501.6139177	-0.069977411	0.359057582	-0.194891892	0.845477582	0.936699963	60496
AASS	ENSG00000008311_AASS	ENSG00000008311	10157	1279.900963	-0.661921435	0.459473177	-1.440609527	0.149695027	0.404284237	10157
AATBC	ENSG00000215458_AATBC	ENSG00000215458	284837	280.5854674	-0.709212319	0.78944793	-0.89836491	0.368991038	0.642634651	284837
AATF	ENSG00000275700_AATF	ENSG00000275700	26574	1556.267097	0.532528372	0.264641244	2.012265226	0.044191986	0.209192833	26574
AATK	ENSG00000181409_AATK	ENSG00000181409	9625	340.2537124	-0.027667722	0.498454038	-0.055507067	0.9557345	0.980951347	9625
ABAT	ENSG00000183044_ABAT	ENSG00000183044	18	374.8521846	-1.391569591	0.540269706	-2.575694281	0.010003905	0.088453561	18
ABCA1	ENSG00000165029_ABCA1	ENSG00000165029	19	5499.95537	-0.155858594	0.259566894	-0.600456367	0.548202132	0.774876468	19
ABCA10	ENSG00000154263_ABCA10	ENSG00000154263	10349	408.7599784	-1.049073147	0.67155753	-1.562149332	0.118252814	0.356054945	10349
ABCA11P	ENSG00000251595_ABCA11P	ENSG00000251595	79963	139.3487265	0.324667334	0.535963737	0.605763621	0.54467173	0.772700668	79963
ABCA12	ENSG00000144452_ABCA12	ENSG00000144452	26154	1477.295038	3.08056154	0.83205935	3.702333902	0.000213625	0.006687338	26154
ABCA13	ENSG00000179869_ABCA13	ENSG00000179869	154664	3675.335183	2.644285255	0.842296526	3.13937571	0.001693082	0.028424008	154664
ABCA17P	ENSG00000238098_ABCA17P	ENSG00000238098	650655	11.31544495	-1.239108735	1.049015737	-1.181210816	0.237518985	0.519869527	650655
ABCA2	ENSG00000107331_ABCA2	ENSG00000107331	20	1639.771345	-1.392680879	0.432736921	-3.218308427	0.001289491	0.023750381	20
ABCA3	ENSG00000167972_ABCA3	ENSG00000167972	21	187.4937548	-1.949241361	0.667959366	-2.918203502	0.003520545	0.045858939	21
ABCA4	ENSG00000198691_ABCA4	ENSG00000198691	24	104.3396141	0.035783569	0.776687999	0.046071999	0.963252864	0.984603783	24
ABCA5	ENSG00000154265_ABCA5	ENSG00000154265	23461	1784.991695	-0.532575849	0.329012806	-1.618708574	0.105509981	0.335742321	23461
ABCA6	ENSG00000154262_ABCA6	ENSG00000154262	23460	1611.599161	-1.133666926	0.894059846	-1.267998928	0.204798333	0.480819593	23460
ABCA7	ENSG00000064687_ABCA7	ENSG00000064687	10347	1631.023513	-0.316738151	0.415267925	-0.762732039	0.445623219	0.702369987	10347
ABCA8	ENSG00000141338_ABCA8	ENSG00000141338	10351	595.9086522	-1.583297498	0.942281722	-1.680280388	0.092902775	0.312449472	10351
ABCA9	ENSG00000154258_ABCA9	ENSG00000154258	10350	639.9147335	-0.833892144	0.716273265	-1.164209507	0.244339119	0.525583327	10350
ABCB1	ENSG00000085563_ABCB1	ENSG00000085563	5243	177.3773326	-1.766941994	0.808226108	-2.186197619	0.02880115	0.164475843	5243
ABCB10	ENSG00000135776_ABCB10	ENSG00000135776	23456	909.4088855	0.295501353	0.329877228	0.895791912	0.37036391	0.643989411	23456
ABCB11	ENSG00000073734_ABCB11	ENSG00000073734	8647	40.57973597	-0.897942522	1.121272007	-0.800824882	0.423233032	0.685004345	8647
ABCB4	ENSG00000005471_ABCB4	ENSG00000005471	5244	114.5190518	-1.517005384	0.608032552	-2.494941069	0.012597805	0.100914067	5244
ABCB5	ENSG00000004846_ABCB5	ENSG00000004846	340273	77.44501961	-1.587812431	0.975711518	-1.627338001	0.103665331	0.332706317	340273
ABCB6	ENSG00000115657_ABCB6	ENSG00000115657	10058	457.7435168	0.41595896	0.473281886	0.878882063	0.379465225	0.651929052	10058
ABCB7	ENSG00000131269_ABCB7	ENSG00000131269	22	755.3739954	0.138573413	0.258675235	0.535704211	0.592162993	0.803699993	22
ABCB8	ENSG00000197150_ABCB8	ENSG00000197150	11194	927.6239422	0.406105808	0.439871224	0.923237954	0.355883214	0.632211628	11194
ABCB9	ENSG00000150967_ABCB9	ENSG00000150967	23457	267.6359681	-0.448025113	0.548534558	-0.816767341	0.414061399	0.677883241	23457
ABCC1	ENSG00000103222_ABCC1	ENSG00000103222	4363	4823.630236	0.706429695	0.375828073	1.879661862	0.060154176	0.246082181	4363
ABCC10	ENSG00000124574_ABCC10	ENSG00000124574	89845	1622.224421	-0.02999115	0.297718894	-0.10073647	0.91975966	0.967725168	89845
ABCC11	ENSG00000121270_ABCC11	ENSG00000121270	85320	28.66575756	0.363931183	0.875348492	0.415755766	0.67758873	0.852954274	85320
ABCC2	ENSG00000023839_ABCC2	ENSG00000023839	1244	132.1582716	-0.475417913	0.715521293	-0.66443573	0.506411471	0.745616633	1244
ABCC3	ENSG00000108846_ABCC3	ENSG00000108846	8714	2940.268027	-1.504000327	0.863995262	-1.740750665	0.081727293	0.29004062	8714
ABCC4	ENSG00000125257_ABCC4	ENSG00000125257	10257	1189.241379	-0.874967364	0.447195695	-1.956564818	0.050398655	0.224266825	10257
ABCC5	ENSG00000114770_ABCC5	ENSG00000114770	10057	5847.844998	-0.033797705	0.320176544	-0.10555959	0.915931788	0.966682626	10057
ABCC5-AS1	ENSG00000223882_ABCC5-AS1	ENSG00000223882	100873982	50.40325175	0.793947551	1.091275024	0.72754121	0.46689448	0.717511643	100873982
ABCC6	ENSG00000091262_ABCC6	ENSG00000091262	368	89.95936638	-0.731295321	0.595686955	-1.227650388	0.219578238	0.497900232	368
ABCC8	ENSG00000006071_ABCC8	ENSG00000006071	6833	22.6857574	-2.69147455	1.536672997	-1.75149466	0.07986074	0.286713064	6833
ABCC9	ENSG00000069431_ABCC9	ENSG00000069431	10060	850.2882491	-0.656659574	0.650704942	-1.009151048	0.312902199	0.595102405	10060
ABCD1	ENSG00000101986_ABCD1	ENSG00000101986	215	438.4825012	-1.180497643	0.498217624	-2.369441759	0.017814961	0.123370446	215
ABCD2	ENSG00000173208_ABCD2	ENSG00000173208	225	106.3947006	-1.889496734	0.7791162	-2.425179624	0.015300814	0.113609478	225
ABCD3	ENSG00000117528_ABCD3	ENSG00000117528	5825	1410.211131	-0.792456585	0.363567017	-2.179671281	0.029281837	0.166479279	5825
ABCD4	ENSG00000119688_ABCD4	ENSG00000119688	5826	1065.563519	-0.221064748	0.25730825	-0.859143645	0.39026127	0.660522883	5826
ABCE1	ENSG00000164163_ABCE1	ENSG00000164163	6059	2321.538327	0.079172476	0.42612227	0.185797556	0.852603522	0.938608639	6059
ABCF1	ENSG00000204574_ABCF1	ENSG00000204574	23	2387.978489	0.111085577	0.237518342	0.467692625	0.640004416	0.830717816	23
ABCF2	ENSG00000033050_ABCF2	ENSG00000033050	10061	1420.89245	0.454699802	0.288338901	1.576963083	0.11480402	0.350837729	10061
ABCF3	ENSG00000161204_ABCF3	ENSG00000161204	55324	1322.021929	0.573418637	0.259200509	2.212258914	0.02694878	0.157465086	55324
ABCG1	ENSG00000160179_ABCG1	ENSG00000160179	9619	735.5957581	-0.905481201	0.454078453	-1.994107395	0.046140319	0.214510166	9619
ABCG2	ENSG00000118777_ABCG2	ENSG00000118777	9429	68.39110905	-1.220189049	0.551719291	-2.211612078	0.02699348	0.157626161	9429
ABCG4	ENSG00000172350_ABCG4	ENSG00000172350	64137	12.65948422	2.953151054	1.181250433	2.500021141	0.01241859	0.099972225	64137
ABCG5	ENSG00000138075_ABCG5	ENSG00000138075	64240	17.44137331	-0.845635534	1.334403189	-0.63371816	0.526264771	0.759412735	64240
ABHD1	ENSG00000143994_ABHD1	ENSG00000143994	84696	142.0135374	-0.764027678	0.510117345	-1.497748873	0.134198509	0.382592587	84696
ABHD10	ENSG00000144827_ABHD10	ENSG00000144827	55347	442.872473	0.226502333	0.266472362	0.850003097	0.395323364	0.663676855	55347
ABHD11	ENSG00000106077_ABHD11	ENSG00000106077	83451	426.6167227	-0.770823779	0.528232282	-1.459251554	0.144495884	0.396897913	83451
ABHD11-AS1	ENSG00000225969_ABHD11-AS1	ENSG00000225969	171022	13.91653047	-1.14664729	1.344503468	-0.852840708	0.393747646	0.66236576	171022
ABHD12	ENSG00000100997_ABHD12	ENSG00000100997	26090	1347.925758	-0.147477962	0.335124249	-0.440069504	0.659886769	0.842503796	26090
ABHD12B	ENSG00000131969_ABHD12B	ENSG00000131969	145447	191.9311227	0.145745621	0.622000167	0.234317655	0.814738381	0.925150672	145447
ABHD13	ENSG00000139826_ABHD13	ENSG00000139826	84945	869.1866613	-0.087803008	0.376512014	-0.233201078	0.815605269	0.925566606	84945
ABHD14A	ENSG00000248487_ABHD14A	ENSG00000248487	25864	90.29052245	-1.38264582	0.739707523	-1.869179071	0.061597905	0.24926357	25864
ABHD14B	ENSG00000114779_ABHD14B	ENSG00000114779	84836	580.4540551	-0.390969533	0.499519108	-0.782691848	0.433808091	0.693487832	84836
ABHD15	ENSG00000168792_ABHD15	ENSG00000168792	116236	488.4470435	-0.523183693	0.356836682	-1.466171273	0.142601633	0.394448292	116236
ABHD16A	ENSG00000204427_ABHD16A	ENSG00000204427	7920	993.3375844	-0.405395246	0.326115187	-1.243104466	0.21382934	0.491426558	7920
ABHD16B	ENSG00000183260_ABHD16B	ENSG00000183260	140701	470.2100623	0.43506025	0.439745234	0.989346142	0.322493816	0.604403685	140701
ABHD17A	ENSG00000129968_ABHD17A	ENSG00000129968	81926	840.9928878	0.654456022	0.520883206	1.256435253	0.208958207	0.486010746	81926
ABHD17B	ENSG00000107362_ABHD17B	ENSG00000107362	51104	510.4672705	-0.041806426	0.472832128	-0.088417059	0.929545203	0.971355733	51104
ABHD17C	ENSG00000136379_ABHD17C	ENSG00000136379	58489	749.7538832	0.60723502	0.506054421	1.199940154	0.230162584	0.511595982	58489
ABHD18	ENSG00000164074_ABHD18	ENSG00000164074	80167	537.1977463	-0.233405456	0.325715045	-0.716594026	0.473624632	0.721101456	80167
ABHD2	ENSG00000140526_ABHD2	ENSG00000140526	11057	4462.628914	-0.546921349	0.328716758	-1.663807322	0.09615094	0.318713259	11057
ABHD3	ENSG00000158201_ABHD3	ENSG00000158201	171586	723.757212	0.263666243	0.404416389	0.651967255	0.514422297	0.750515713	171586
ABHD4	ENSG00000100439_ABHD4	ENSG00000100439	63874	502.0333044	-0.552255032	0.377707427	-1.462123836	0.143707278	0.395781158	63874
ABHD5	ENSG00000011198_ABHD5	ENSG00000011198	51099	998.7495558	-0.282843137	0.404353027	-0.699495536	0.484242402	0.729261526	51099
ABHD6	ENSG00000163686_ABHD6	ENSG00000163686	57406	173.3147428	-0.421527461	0.404483476	-1.042137656	0.297347863	0.579647872	57406
ABHD8	ENSG00000127220_ABHD8	ENSG00000127220	79575	295.1379223	-0.397653028	0.469530969	-0.846915442	0.397042255	0.665436618	79575
ABI1	ENSG00000136754_ABI1	ENSG00000136754	10006	2362.761145	0.609456907	0.26764188	2.277135803	0.022778117	0.141929346	10006
ABI2	ENSG00000138443_ABI2	ENSG00000138443	10152	1845.625112	-0.859661662	0.383110768	-2.243898458	0.024838935	0.149602753	10152
ABI3	ENSG00000108798_ABI3	ENSG00000108798	51225	333.3464221	-0.38722817	0.515806989	-0.750723	0.452819378	0.708192536	51225
ABI3BP	ENSG00000154175_ABI3BP	ENSG00000154175	25890	2057.406639	-1.732116221	0.47796826	-3.623914736	0.000290177	0.008369248	25890
ABL1	ENSG00000097007_ABL1	ENSG00000097007	25	3112.526102	0.015795214	0.390334956	0.040465793	0.967721778	0.986650452	25
ABL2	ENSG00000143322_ABL2	ENSG00000143322	27	2924.000887	0.307543731	0.400063758	0.768736795	0.442049577	0.699925986	27
ABLIM1	ENSG00000099204_ABLIM1	ENSG00000099204	3983	4089.420759	-0.042553601	0.500806899	-0.084970078	0.932285179	0.972554542	3983
ABLIM2	ENSG00000163995_ABLIM2	ENSG00000163995	84448	249.2250663	0.912435027	0.810772068	1.125390308	0.260423676	0.542610763	84448
ABLIM3	ENSG00000173210_ABLIM3	ENSG00000173210	22885	924.7394569	-1.194212819	0.699155656	-1.708078608	0.087621758	0.302661819	22885
ABO	ENSG00000175164_ABO	ENSG00000175164	28	280.1209431	-1.332108562	1.020050337	-1.30592434	0.191578289	0.46315077	28
ABR	ENSG00000159842_ABR	ENSG00000159842	29	2593.683223	-0.100781605	0.322326089	-0.312669712	0.754531609	0.895103278	29
ABRA	ENSG00000174429_ABRA	ENSG00000174429	137735	23.2544564	-1.435999176	0.975170777	-1.47256174	0.140869248	0.392048455	137735
ABRACL	ENSG00000146386_ABRACL	ENSG00000146386	58527	357.9590282	0.274433454	0.371852612	0.738016744	0.460504274	0.713178911	58527
ABT1	ENSG00000146109_ABT1	ENSG00000146109	29777	562.810406	0.578175826	0.286950378	2.014898289	0.043915307	0.208736743	29777
ABTB1	ENSG00000114626_ABTB1	ENSG00000114626	80325	558.2196868	-0.380194151	0.451707717	-0.84168177	0.399966105	0.667638241	80325
ABTB2	ENSG00000166016_ABTB2	ENSG00000166016	25841	535.4514727	0.330334266	0.356824447	0.925761306	0.35457004	0.631223333	25841
ACAA1	ENSG00000060971_ACAA1	ENSG00000060971	30	739.8696094	-0.221781595	0.420711154	-0.527158819	0.598083303	0.806889126	30
ACAA2	ENSG00000167315_ACAA2	ENSG00000167315	10449	479.2935803	-1.161480777	0.389712724	-2.980351178	0.002879181	0.040471299	10449
ACACA	ENSG00000278540_ACACA	ENSG00000278540	31	5272.700634	0.411863431	0.331968737	1.24066933	0.214727929	0.492274344	31
ACACB	ENSG00000076555_ACACB	ENSG00000076555	32	1369.873714	-1.960865791	0.589246731	-3.327749971	0.000875504	0.018452777	32
ACAD10	ENSG00000111271_ACAD10	ENSG00000111271	80724	1167.232881	-0.006553982	0.275326894	-0.023804365	0.981008658	0.992552475	80724
ACAD11	ENSG00000240303_ACAD11	ENSG00000240303	84129	691.9860121	-0.126653896	0.403215159	-0.314109956	0.753437528	0.894287867	84129
ACAD8	ENSG00000151498_ACAD8	ENSG00000151498	27034	544.1501994	-0.734212622	0.364533564	-2.014115281	0.043997432	0.208862936	27034
ACAD9	ENSG00000177646_ACAD9	ENSG00000177646	28976	1503.8865	0.367971286	0.242506515	1.517366602	0.129174151	0.374216628	28976
ACADL	ENSG00000115361_ACADL	ENSG00000115361	33	53.58105812	-2.526130185	0.918776991	-2.74944868	0.005969561	0.063875253	33
ACADM	ENSG00000117054_ACADM	ENSG00000117054	34	703.1720117	-0.44965376	0.37052125	-1.213570774	0.224911673	0.504794807	34
ACADS	ENSG00000122971_ACADS	ENSG00000122971	35	214.3553514	-0.289475237	0.499813755	-0.579166207	0.56247703	0.783929593	35
ACADSB	ENSG00000196177_ACADSB	ENSG00000196177	36	465.5063651	-1.080193352	0.502078362	-2.151443749	0.031441191	0.172950051	36
ACADVL	ENSG00000072778_ACADVL	ENSG00000072778	37	5174.129097	-0.274730364	0.316117825	-0.86907584	0.38480565	0.656319832	37
ACAN	ENSG00000157766_ACAN	ENSG00000157766	176	299.7146458	-0.404016565	0.732664248	-0.551434802	0.581335649	0.797537723	176
ACAP1	ENSG00000072818_ACAP1	ENSG00000072818	9744	975.9381387	-0.646239646	0.451694827	-1.430699682	0.152516304	0.40853703	9744
ACAP2	ENSG00000114331_ACAP2	ENSG00000114331	23527	3622.204445	0.346151803	0.362915628	0.953807928	0.340180876	0.61935692	23527
ACAP3	ENSG00000131584_ACAP3	ENSG00000131584	116983	2389.134609	0.523696224	0.367119287	1.426501527	0.153723626	0.410226936	116983
ACAT1	ENSG00000075239_ACAT1	ENSG00000075239	38	568.3729347	-1.120656153	0.347666457	-3.22336576	0.001266937	0.023547106	38
ACAT2	ENSG00000120437_ACAT2	ENSG00000120437	39	283.0505323	0.763110281	0.557374521	1.369115832	0.17096307	0.4358427	39
ACBD3	ENSG00000182827_ACBD3	ENSG00000182827	64746	2402.76214	0.202722428	0.276849184	0.732248599	0.464016846	0.715607239	64746
ACBD4	ENSG00000181513_ACBD4	ENSG00000181513	79777	242.053421	-1.654884724	0.365738923	-4.52477059	6.05e-06	0.000419805	79777
ACBD5	ENSG00000107897_ACBD5	ENSG00000107897	91452	993.7173053	0.076145069	0.271442521	0.280520049	0.779078546	0.908383762	91452
ACBD6	ENSG00000230124_ACBD6	ENSG00000230124	84320	685.7981354	-0.241469133	0.275136428	-0.877634178	0.380142275	0.652300463	84320
ACBD7	ENSG00000176244_ACBD7	ENSG00000176244	414149	37.54177911	-2.2159397	0.899865689	-2.462522716	0.013796343	0.10670564	414149
ACCS	ENSG00000110455_ACCS	ENSG00000110455	84680	814.9206799	-0.554768664	0.26837205	-2.0671626	0.038718835	0.193752125	84680
ACD	ENSG00000102977_ACD	ENSG00000102977	65057	449.5463439	0.118219196	0.388240407	0.304499979	0.760747009	0.89803971	65057
ACE	ENSG00000159640_ACE	ENSG00000159640	1636	785.3090226	-1.089492753	0.350397302	-3.109306913	0.001875268	0.030140479	1636
ACE2	ENSG00000130234_ACE2	ENSG00000130234	59272	132.8382021	0.52394889	0.889550828	0.589003881	0.55585867	0.779720532	59272
ACER2	ENSG00000177076_ACER2	ENSG00000177076	340485	1072.716809	-2.533324372	0.721060127	-3.513333047	0.000442522	0.011359908	340485
ACER3	ENSG00000078124_ACER3	ENSG00000078124	55331	1034.135073	0.302580635	0.354284265	0.854061738	0.393070782	0.661906194	55331
ACHE	ENSG00000087085_ACHE	ENSG00000087085	43	89.9487912	-1.722986072	0.760619752	-2.265239717	0.023497973	0.144800608	43
ACIN1	ENSG00000100813_ACIN1	ENSG00000100813	22985	7931.113023	-0.120868893	0.21941109	-0.550878686	0.581716839	0.797909541	22985
ACKR1	ENSG00000213088_ACKR1	ENSG00000213088	2532	305.9577889	-1.102423737	0.897389281	-1.228478834	0.21926727	0.497498399	2532
ACKR2	ENSG00000144648_ACKR2	ENSG00000144648	1238	69.87018493	0.985087016	0.718588304	1.370864249	0.170417278	0.434967113	1238
ACKR3	ENSG00000144476_ACKR3	ENSG00000144476	57007	830.9452329	1.139137444	0.661284218	1.722613987	0.084958354	0.296966891	57007
ACKR4	ENSG00000129048_ACKR4	ENSG00000129048	51554	247.289321	-0.327829915	0.399054752	-0.821516128	0.411352341	0.676276187	51554
ACLY	ENSG00000131473_ACLY	ENSG00000131473	47	4631.086994	0.733011533	0.260259973	2.816458956	0.004855625	0.056217608	47
ACMSD	ENSG00000153086_ACMSD	ENSG00000153086	130013	46.80183437	-0.488072258	0.638889759	-0.763938146	0.444904104	0.701816064	130013
ACO1	ENSG00000122729_ACO1	ENSG00000122729	48	1743.277753	-0.110139553	0.427308515	-0.257751833	0.79659844	0.91693185	48
ACO2	ENSG00000100412_ACO2	ENSG00000100412	50	1570.996933	-0.109477939	0.348235977	-0.314378601	0.753233507	0.894103382	50
ACOD1	ENSG00000102794_ACOD1	ENSG00000102794	730249	17.93677208	0.629743296	1.43041013	0.440253661	0.659753399	0.842503796	730249
ACOT1	ENSG00000184227_ACOT1	ENSG00000184227	641371	72.95370798	-0.467399321	0.600687697	-0.778107033	0.436505917	0.695928332	641371
ACOT11	ENSG00000162390_ACOT11	ENSG00000162390	26027	522.5711058	-0.829056559	0.633882102	-1.307903404	0.190906075	0.462497929	26027
ACOT13	ENSG00000112304_ACOT13	ENSG00000112304	55856	517.842958	-0.109617755	0.390655241	-0.280599729	0.779017424	0.908383762	55856
ACOT2	ENSG00000119673_ACOT2	ENSG00000119673	10965	322.9348613	-0.357645836	0.391476079	-0.913582861	0.360936075	0.636920272	10965
ACOT4	ENSG00000177465_ACOT4	ENSG00000177465	122970	57.52581025	-1.742296197	0.538615918	-3.234765513	0.001217427	0.022951487	122970
ACOT7	ENSG00000097021_ACOT7	ENSG00000097021	11332	692.100767	1.633980064	0.443054517	3.687988725	0.000226034	0.006870466	11332
ACOT8	ENSG00000101473_ACOT8	ENSG00000101473	10005	460.6724286	-0.341669322	0.351760591	-0.971312109	0.33139288	0.612088838	10005
ACOT9	ENSG00000123130_ACOT9	ENSG00000123130	23597	972.1306228	0.345543694	0.300303084	1.150649833	0.249876323	0.531897772	23597
ACOX1	ENSG00000161533_ACOX1	ENSG00000161533	51	3342.426911	-0.93630653	0.40897441	-2.28940126	0.022056049	0.139134028	51
ACOX2	ENSG00000168306_ACOX2	ENSG00000168306	8309	151.3928739	-0.598349907	0.928401426	-0.644494817	0.519254617	0.753730275	8309
ACOX3	ENSG00000087008_ACOX3	ENSG00000087008	8310	830.3089035	-0.513778007	0.342046601	-1.502070201	0.13307898	0.380343776	8310
ACOXL	ENSG00000153093_ACOXL	ENSG00000153093	55289	129.3161303	-3.744919993	0.947825715	-3.951063927	7.78e-05	0.003112181	55289
ACP1	ENSG00000143727_ACP1	ENSG00000143727	52	1125.831576	0.217510674	0.313305811	0.694243982	0.487529215	0.730797357	52
ACP2	ENSG00000134575_ACP2	ENSG00000134575	53	725.8290789	-0.293608647	0.29738522	-0.987300736	0.32349523	0.605586756	53
ACP5	ENSG00000102575_ACP5	ENSG00000102575	54	824.8382645	0.863156409	0.510227003	1.691710561	0.090701174	0.308029088	54
ACP6	ENSG00000162836_ACP6	ENSG00000162836	51205	667.6550991	-1.469214374	0.538257815	-2.729573695	0.006341627	0.06669782	51205
ACP7	ENSG00000183760_ACP7	ENSG00000183760	390928	88.5690342	6.501858417	1.257328599	5.171168797	2.33e-07	2.68e-05	390928
ACPP	ENSG00000014257_ACPP	ENSG00000014257	55	277.3578362	1.374112548	0.614198167	2.237246253	0.02527025	0.151161443	55
ACPT	ENSG00000142513_ACPT	ENSG00000142513	93650	99.66912188	-0.623858586	0.670063069	-0.931044577	0.351830506	0.628940184	93650
ACR	ENSG00000100312_ACR	ENSG00000100312	49	11.04438257	-2.033303737	1.510384136	-1.346216296	0.178232771	0.445218978	49
ACRBP	ENSG00000111644_ACRBP	ENSG00000111644	84519	80.17019088	-1.41972397	0.511467385	-2.77578593	0.005506845	0.060674224	84519
ACRV1	ENSG00000134940_ACRV1	ENSG00000134940	56	25.93159206	-0.561702877	0.781434822	-0.718809632	0.472258222	0.719989336	56
ACSBG1	ENSG00000103740_ACSBG1	ENSG00000103740	23205	72.21858854	-1.8892057	0.768694949	-2.457679346	0.013983797	0.107566369	23205
ACSBG2	ENSG00000130377_ACSBG2	ENSG00000130377	81616	57.76212682	-0.424961839	0.80804458	-0.525913853	0.598948063	0.807177001	81616
ACSF2	ENSG00000167107_ACSF2	ENSG00000167107	80221	604.2282248	-2.262200247	0.638628581	-3.54227843	0.000396687	0.010457066	80221
ACSF3	ENSG00000176715_ACSF3	ENSG00000176715	197322	664.9502387	-0.131984014	0.404410402	-0.326361571	0.744150809	0.888572475	197322
ACSL1	ENSG00000151726_ACSL1	ENSG00000151726	2180	3353.103328	-0.29848994	0.46217697	-0.645834733	0.518386391	0.75337904	2180
ACSL3	ENSG00000123983_ACSL3	ENSG00000123983	2181	2515.337162	0.056476286	0.248731335	0.227057384	0.820379121	0.927665673	2181
ACSL4	ENSG00000068366_ACSL4	ENSG00000068366	2182	2416.473263	-0.528647	0.424578841	-1.245109151	0.213091631	0.490785581	2182
ACSL5	ENSG00000197142_ACSL5	ENSG00000197142	51703	1764.550226	-1.538735927	0.625676098	-2.459317099	0.013920161	0.107257519	51703
ACSL6	ENSG00000164398_ACSL6	ENSG00000164398	23305	39.70880455	-1.944959539	0.79598507	-2.443462336	0.014547088	0.109789343	23305
ACSM1	ENSG00000166743_ACSM1	ENSG00000166743	116285	39.43934262	-3.022232254	0.592043491	-5.104747036	3.31e-07	3.63e-05	116285
